Name,Address,Status,Classes_This_Week,4Rides,8Rides,Unlimited Rides,5Pack,10Pack,24Pack
CycleBar Oviedo,"1361 Alafaya Trail, Suite 100, Oviedo, FL, 32765",Open,28,$89.00,$139.00,$179.00,$249.00,$129.00,$459.00
CycleBar Lakeland,"3504 Lake District Dr. W, Suite 109, Lakeland, TN, 38002",Open,21,$69.00,$119.00,$159.00,$209.00,$109.00,$369.00
CycleBar Winter Park,"110 S Orlando Avenue, Suite 1, Winter Park, FL, 32789",Open,25,$89.00,$139.00,$179.00,$249.00,$129.00,$459.00
CycleBar Melbourne,"5410 Murrell Road, Suite 205, Rockledge, FL, 32955",Open,19,$69.00,$119.00,$159.00,$209.00,$109.00,$369.00
CycleBar Germantown,"7685 Farmington Boulevard, Suite 101, Germantown, TN, 38138",Open,18,$69.00,$119.00,$159.00,$209.00,$109.00,$369.00
CycleBar Dr Phillips,"7940 Via Dellagio Way, Suite 112, Orlando, FL, 32819",Open,23,$99.00,$149.00,$189.00,$269.00,$139.00,$499.00
CycleBar Hamlin,"16016 New Independence Parkway, Suite 120, Winter Garden, FL, 34787",Open,27,$89.00,$139.00,$179.00,$249.00,$129.00,$459.00
CycleBar Midtown Memphis,"588 S Cooper Street, Memphis, TN, 38104",Open,19,$69.00,$119.00,$159.00,$209.00,$109.00,$369.00
CycleBar Columbia,"503 E. Nifong Blvd., Suite J, Columbia, MO, 65201",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Trinity,"8918 Strength Avenue, New Port Richey, FL, 34655",Open,24,$69.00,$119.00,$159.00,$209.00,$109.00,$369.00
CycleBar Woodbury,"265 Radio Drive, Suite E, Woodbury, MN, 55125",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Brandon,"3317 Lithia Pinecrest Road, Unit 3335, Valrico, FL, 33596",Open,17,$79.00,$129.00,$169.00,$229.00,$229.00,$119.00
CycleBar South Tampa,"209 S Dale Mabry Highway, Tampa, FL, 33609",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Uptown MPLS,"2927 Girard Avenue S, Minneapolis, MN, 55408",Open,28,$69.00,$119.00,$159.00,$209.00,$109.00,$369.00
CycleBar Palm Beach Gardens,"4550 Donald Ross Road, Suite 100, Palm Beach Gardens, FL, 33418",Open,27,$69.00,$119.00,$159.00,$209.00,$109.00,$369.00
CycleBar Pensacola,"1765 E 9 Mile Road, Suite A03, Pensacola, FL, 32514",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Ridgedale,"12401 Wayzata Road, Suite 2085, Minnetonka, MN, 55305",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Jordan Creek,"160 Jordan Creek Parkway, Suite 130, West Des Moines, IA, 50266",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Wellington,"9312 Forest Hills Boulevard, Wellington, FL, 33414",Open,23,$69.00,$119.00,$159.00,$209.00,$189.00,$109.00
CycleBar Sarasota University Town Center,"5275 University Parkway, University Park, FL, 34201",Open,28,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar Siesta Key,"4020 South Tamiami Trail, Suite 4006, Sarasota, FL, 34321",coming soon,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Boca Raton,"5560 N Military Trail, Suite 320, Boca Raton, FL, 33496",Open,35,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
