Name,Address,Status,Classes_This_Week
Club Pilates Ancaster,"1172 Wilson Street West, Unit 6, Ancaster, ON, L9G 3K9",Open,60
Club Pilates Woodbridge,"8565 Highway 27, Woodbridge, ON, L4L 1A7",coming soon,N/A
Club Pilates Newmarket,"17305 Leslie St, Newmarket, ON, L3Y 0A4",Open,99
Club Pilates Guelph South,"10 Samuel Drive, Unit B, Guelph, ON, N1L 0K2",Open,75
Club Pilates Barrie,"678 Veterans Drive, Unit 2, Barrie, ON, L9J 0H6",Open,62
Club Pilates Chagrin Falls,"8474 E. Washington St., Unit 11, Chagrin Falls, OH, 44023",Open,48
Club Pilates Waterloo,"668 Erb Street West, Unit B5, Waterloo, ON, N2T 2Z7",Open,75
Club Pilates Hudson,"118 W Streetsboro St, Room 25, Hudson, OH, 44236",Open,46
Club Pilates Solon,"34348 Aurora Rd, Unit 19, Solon, OH, 44139",Open,47
Club Pilates Willoughby South,"5872 Som Center Rd, Willoughby, OH, 44094",Open,77
Club Pilates Pinecrest,"311 Park Ave., Ste. 123, Orange, OH, 44122",Open,73
Club Pilates Fairlawn,"2725 W. Market Street, Suite 130, Fairlawn, OH, 44333",Open,54
Club Pilates Eastern NC,"703 Greenville Blvd. SE, Suite 105, Greenville, NC, 27858",Open,73
Club Pilates Roanoke,"1028 23rd St SW, Suite 302, Roanoke, VA, 24015",Open,59
Club Pilates Broadview Heights,"4223 East Royalton Rd., Broadview Heights, OH, 44147",Open,65
Club Pilates Wake Forest,"1898 South Franklin Street, Suite 104, Wake Forest, NC, 27587",Open,65
Club Pilates Fairview Park,"3071 Westgate Mall, Fairview Park, OH, 44126",Open,56
Club Pilates North Raleigh,"9414 Falls Of Neuse Rd., Raleigh, NC, 27615",Open,67
Club Pilates West Bay Plaza,"30032 Detroit Rd., Westlake, OH, 44145",Open,63
Club Pilates West Raleigh,"9650 Leesville Road, Suite 150, Raleigh, NC, 27613",Open,63
Club Pilates Midtown Raleigh,"2920 Sherman Oak Place, Suite 130, Raleigh, NC, 27609",Open,66
Club Pilates Downtown Raleigh,"11 W Franklin St, Suite B235, Raleligh, NC, 27604",coming soon,N/A
Club Pilates Durham,"1125 NC 54, Suite 404, Durham, NC, 27707",Open,57
Club Pilates Cary,"201 Fenton Gateway Dr, Suite 120, Cary, NC, 27511",Open,53
Club Pilates Chapel Hill,"1800 E. Franklin St., #9, Chapel Hill, NC, 27514",Open,70
Club Pilates West Cary,"1104 Parkside Main St., Cary, NC, 27519",Open,56
Club Pilates Apex,"1451 Richardson Road, Suite B-140, Apex, NC, 27523",coming soon,N/A
Club Pilates Holly Springs,"317 Matthews Drive, Holly Springs, NC, 27540",Open,62
